task_id,category,task_name,optimistic_hours,most_likely_hours,pessimistic_hours,complexity_weight
1,frontend,Frontend_Task_1,2.9,5.0,9.0,1.2
2,frontend,Frontend_Task_2,21.8,37.3,67.1,1.2
3,frontend,Frontend_Task_3,14.5,24.9,44.9,1.2
4,frontend,Frontend_Task_4,12.9,22.1,39.8,1.2
5,frontend,Frontend_Task_5,4.5,7.7,13.8,1.2
6,frontend,Frontend_Task_6,27.0,46.3,83.3,1.2
7,frontend,Frontend_Task_7,8.0,13.7,24.7,1.2
8,frontend,Frontend_Task_8,4.2,7.1,12.8,1.2
9,frontend,Frontend_Task_9,18.9,32.4,58.3,1.2
10,frontend,Frontend_Task_10,17.9,30.7,55.2,1.2
11,frontend,Frontend_Task_11,10.0,17.2,30.9,1.2
12,frontend,Frontend_Task_12,12.2,21.0,37.8,1.2
13,frontend,Frontend_Task_13,13.4,23.0,41.3,1.2
14,frontend,Frontend_Task_14,15.8,27.1,48.8,1.2
15,frontend,Frontend_Task_15,17.0,29.2,52.5,1.2
16,backend,Backend_Task_1,17.6,37.8,68.0,1.5
17,backend,Backend_Task_2,14.0,29.9,53.9,1.5
18,backend,Backend_Task_3,4.4,9.5,17.1,1.5
19,backend,Backend_Task_4,17.4,37.3,67.1,1.5
20,backend,Backend_Task_5,11.6,24.9,44.9,1.5
21,backend,Backend_Task_6,20.1,43.2,77.7,1.5
22,backend,Backend_Task_7,8.8,18.8,33.8,1.5
23,backend,Backend_Task_8,7.2,15.4,27.8,1.5
24,backend,Backend_Task_9,27.1,58.0,104.4,1.5
25,backend,Backend_Task_10,21.6,46.3,83.3,1.5
26,backend,Backend_Task_11,4.8,10.4,18.7,1.5
27,backend,Backend_Task_12,10.1,21.6,38.8,1.5
28,database,Database_Task_1,11.9,30.7,55.2,1.8
29,database,Database_Task_2,14.7,37.7,67.9,1.8
30,database,Database_Task_3,24.1,61.9,111.4,1.8
31,database,Database_Task_4,18.1,46.5,83.7,1.8
32,database,Database_Task_5,23.4,60.1,108.1,1.8
33,database,Database_Task_6,7.6,19.6,35.2,1.8
34,testing,Testing_Task_1,7.8,11.1,20.0,1.0
35,testing,Testing_Task_2,23.2,33.1,59.6,1.0
36,testing,Testing_Task_3,17.9,25.6,46.0,1.0
37,testing,Testing_Task_4,23.0,32.9,59.2,1.0
38,testing,Testing_Task_5,25.3,36.1,65.0,1.0
39,testing,Testing_Task_6,13.5,19.3,34.7,1.0
40,testing,Testing_Task_7,25.5,36.4,65.5,1.0
41,testing,Testing_Task_8,19.0,27.2,49.0,1.0
42,deployment,Deployment_Task_1,12.0,34.4,61.9,2.0
43,deployment,Deployment_Task_2,8.6,24.5,44.0,2.0
44,deployment,Deployment_Task_3,21.8,62.2,112.0,2.0
45,deployment,Deployment_Task_4,21.8,62.4,112.3,2.0
